#####,,Name,Type,Location,Region I,Season,Date,Time ,Time of Day,Duration,Recorder,Microphones,Configuration,Sample Rate,Bit Depth,Region,Region III,Region IV,Recording Notes
407,65,,,,,,,,,390:25:45,,,,,,,,,
00001,,WT_AUD_WLD_NA_00001_air,Air,"Adirondack Park, NY",Northern Forests,Fall,10/5/16,10:00,Morning,0:07:38,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,,"Plank Road, Wilmington Notch Region, crows "
00002,,WT_AUD_WLD_NA_00002_air,Air,"Adirondack Park, NY",Northern Forests,Fall,10/5/16,11:00,Morning,0:16:21,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,,"Crows, Open Field, Crickets "
00003,,WT_AUD_WLD_NA_00003_wat,Water,"Adirondack Park, NY",Northern Forests,Fall,10/5/16,12:00,Afternoon,0:07:01,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,,
00004,,WT_AUD_WLD_NA_00004_wat,Water,"Adirondack Park, NY",Northern Forests,Fall,10/5/16,12:00,Afternoon,0:04:28,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,,
00005,,WT_AUD_WLD_NA_00005_wat,Water,"Adirondack Park, NY",Northern Forests,Fall,10/5/16,12:00,Afternoon,0:04:43,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,,
00006,,WT_AUD_WLD_NA_00006_air,Air,"Adirondack Park, NY",Northern Forests,Fall,10/6/16,13:09,Afternoon,0:10:26,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,,"Wood Pecker, Wind, Leaves Falling "
00007,,WT_AUD_WLD_NA_00007_air,Air,"Adirondack Park, NY",Northern Forests,Fall,10/6/16,14:00,Afternoon,0:10:03,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,,
00008,,WT_AUD_WLD_NA_00008_air,Air,"Adirondack Park, NY",Northern Forests,Fall,10/6/16,15:00,Afternoon,0:04:13,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,,"Wind, Leaves, Light Insects, Quiet "
00009,,WT_AUD_WLD_NA_00009_air,Air,"Adirondack Park, NY",Northern Forests,Fall,10/6/16,15:23,Afternoon,0:12:36,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,,"Summit, Wind , RUMBLE, VOICES"
00010,,WT_AUD_WLD_NA_00010_air,Air,"Adirondack Park, NY",Northern Forests,Fall,10/6/16,15:30,Afternoon,0:13:13,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,,French People 
