#####,,Name,Type,Location,Region I,Season,Date,Time ,Time of Day,Duration,Recorder,Microphones,Configuration,Sample Rate,Bit Depth,Region,Region III,Region IV
100,24,,,,,,,,,0.968877314814815,,,,,,,,
00001,,WT_AUD_WLD_NA_00001_air,Air,"Adirondack Park, NY",Northern Forests,Fall,42648,0.416666666666667,Morning,0.00530092592592593,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,
00002,,WT_AUD_WLD_NA_00002_air,Air,"Adirondack Park, NY",Northern Forests,Fall,42648,0.458333333333333,Morning,0.0113541666666667,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,
00003,,WT_AUD_WLD_NA_00003_wat,Water,"Adirondack Park, NY",Northern Forests,Fall,42648,0.5,Afternoon,0.00487268518518519,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,
00004,,WT_AUD_WLD_NA_00004_wat,Water,"Adirondack Park, NY",Northern Forests,Fall,42648,0.5,Afternoon,0.00310185185185185,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,
00005,,WT_AUD_WLD_NA_00005_wat,Water,"Adirondack Park, NY",Northern Forests,Fall,42648,0.5,Afternoon,0.00327546296296296,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,
00006,,WT_AUD_WLD_NA_00006_air,Air,"Adirondack Park, NY",Northern Forests,Fall,42649,0.547916666666667,Afternoon,0.00724537037037037,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,
00007,,WT_AUD_WLD_NA_00007_air,Air,"Adirondack Park, NY",Northern Forests,Fall,42649,0.583333333333333,Afternoon,0.00697916666666667,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,
00008,,WT_AUD_WLD_NA_00008_air,Air,"Adirondack Park, NY",Northern Forests,Fall,42649,0.625,Afternoon,0.00292824074074074,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,
00009,,WT_AUD_WLD_NA_00009_air,Air,"Adirondack Park, NY",Northern Forests,Fall,42649,0.640972222222222,Afternoon,0.00875,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,
00010,,WT_AUD_WLD_NA_00010_air,Air,"Adirondack Park, NY",Northern Forests,Fall,42649,0.645833333333333,Afternoon,0.00917824074074074,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,
00011,,WT_AUD_WLD_NA_00011_air,Air,"Adirondack Park, NY",Northern Forests,Fall,42649,0.65625,Afternoon,0.00357638888888889,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,
00012,,WT_AUD_WLD_NA_00012_hyb,Hybrid,"Pharoah Lake Wilderness, NY ",Northern Forests,Fall,42650,0.375,Morning,0.00981481481481481,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,
00013,,WT_AUD_WLD_NA_00013_wat,Water,"Pharoah Lake Wilderness, NY ",Northern Forests,Fall,42650,0.416666666666667,Morning,0.00246527777777778,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,
00014,,WT_AUD_WLD_NA_00014_air,Air,"Pharoah Lake Wilderness, NY ",Northern Forests,Fall,42650,0.5625,Afternoon,0.00641203703703704,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,
00015,✄,WT_AUD_WLD_NA_00015_air,Air,"Pharoah Lake Wilderness, NY ",Northern Forests,Fall,42650,0.675,Afternoon,0.00346064814814815,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,
00016,✄,WT_AUD_WLD_NA_00016_air,Air,"Pharoah Lake Wilderness, NY ",Northern Forests,Fall,42650,0.06875,Afternoon,0.00388888888888889,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,
00017,✄,WT_AUD_WLD_NA_00017_air,Air,"Pharoah Lake Wilderness, NY ",Northern Forests,Fall,42650,0.675,Afternoon,0.00371527777777778,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,
00018,✄,WT_AUD_WLD_NA_00018_air,Air,"Pharoah Lake Wilderness, NY ",Northern Forests,Fall,42650,NA,Afternoon,0.0044212962962963,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,
00019,✄,WT_AUD_WLD_NA_00019_air,Air,"Pharoah Lake Wilderness, NY ",Northern Forests,Fall,42651,NA,Afternoon,0.00493055555555556,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,
00020,✄,WT_AUD_WLD_NA_00020_air,Air,"Pharoah Lake Wilderness, NY ",Northern Forests,Fall,42651,NA,Afternoon,0.00769675925925926,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,
00021,,WT_AUD_WLD_NA_00021_air,Air,"Pharoah Lake Wilderness, NY ",Northern Forests,Fall,42651,NA,Afternoon,0.00702546296296296,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,
00022,,WT_AUD_WLD_NA_00022_air,Air,"Z Farm, NY",Eastern Temperate Forests,Fall,42652,NA,Afternoon,0.00538194444444444,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,
00023,✄,WT_AUD_WLD_NA_00023_air,Air,"Z Farm, NY",Eastern Temperate Forests,Fall,42652,NA,Afternoon,0.00909722222222222,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,
00024,✄,WT_AUD_WLD_NA_00024_air,Air,"Z Farm, NY",Eastern Temperate Forests,Fall,42652,NA,Afternoon,0.00373842592592593,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,
00025,,WT_AUD_WLD_NA_00025_air,Air,"Z Farm, NY",Eastern Temperate Forests,Fall,42652,NA,Afternoon,0.0059837962962963,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,
00026,✄,WT_AUD_WLD_NA_00026_air,Air,"Adirondack Park, NY",Northern Forests,Fall,42653,0.614583333333333,Afternoon,0.00539351851851852,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,
00027,✄,WT_AUD_WLD_NA_00027_air,Air,"Adirondack Park, NY",Northern Forests,Fall,42653,N/A,Afternoon,0.00846064814814815,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,
00028,,WT_AUD_WLD_NA_00028_air,Air,"Green Mountain NF, VT",Northern Forests,Fall,42654,N/A,Afternoon,0.0111574074074074,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00029,,WT_AUD_WLD_NA_00029_air,Air,"Green Mountain NF, VT",Northern Forests,Fall,42654,N/A,Afternoon,0.00927083333333333,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00030,,WT_AUD_WLD_NA_00030_air,Air,"Green Mountain NF, VT",Northern Forests,Fall,42654,N/A,Afternoon,0.00971064814814815,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00031,,WT_AUD_WLD_NA_00031_wat,Water,"Green Mountain NF, VT",Northern Forests,Fall,42654,N/A,Afternoon,0.00546296296296296,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00032,,WT_AUD_WLD_NA_00032_wat,Water,"Green Mountain NF, VT",Northern Forests,Fall,42654,N/A,Afternoon,0.00556712962962963,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00033,,WT_AUD_WLD_NA_00033_wat,Water,"Green Mountain NF, VT",Northern Forests,Fall,42654,N/A,Afternoon,0.00607638888888889,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00034,,WT_AUD_WLD_NA_00034_wat,Water,"Green Mountain NF, VT",Northern Forests,Fall,42654,0.583333333333333,Afternoon,0.00671296296296296,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
00035,,WT_AUD_WLD_NA_00035_wat,Water,"Green Mountain NF, VT",Northern Forests,Fall,42654,N/A,Afternoon,0.0034375,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,
